;;T(entropy,4,0.01,0.3);
8;IndianPines,(3,:flattened,"o_None","TestOpGeq");(59.55, 55.0, 96.36, 57.89, 62.92, 00:03:43);
9;IndianPines,(3,:flattened,"o_None","TestOpGeq");(52.73, 85.0, 96.82, 70.83, 56.67, 00:03:41);
10;IndianPines,(3,:flattened,"o_None","TestOpGeq");(55.45, 70.0, 96.82, 66.67, 59.17, 00:03:48);
1;IndianPines,(3,:averaged,"o_None","TestOpGeq");(69.55, 75.0, 97.73, 75.0, 72.08, 00:01:35);
2;IndianPines,(3,:averaged,"o_None","TestOpGeq");(70.0, 75.0, 97.73, 75.0, 72.5, 00:01:34);
3;IndianPines,(3,:averaged,"o_None","TestOpGeq");(62.27, 55.0, 97.27, 64.71, 65.42, 00:01:35);
4;IndianPines,(3,:averaged,"o_None","TestOpGeq");(70.0, 75.0, 97.27, 71.43, 72.5, 00:01:40);
5;IndianPines,(3,:averaged,"o_None","TestOpGeq");(67.27, 70.0, 97.73, 73.68, 70.0, 00:01:33);
6;IndianPines,(3,:averaged,"o_None","TestOpGeq");(64.55, 90.0, 96.82, 72.0, 67.5, 00:01:36);
7;IndianPines,(3,:averaged,"o_None","TestOpGeq");(66.82, 80.0, 99.55, 94.12, 69.58, 00:01:35);
8;IndianPines,(3,:averaged,"o_None","TestOpGeq");(68.18, 70.0, 96.36, 63.64, 70.83, 00:01:34);
9;IndianPines,(3,:averaged,"o_None","TestOpGeq");(71.82, 80.0, 98.18, 80.0, 74.17, 00:01:42);
10;IndianPines,(3,:averaged,"o_None","TestOpGeq");(71.82, 85.0, 96.36, 68.0, 74.17, 00:01:35);
1;Salinas,(1,false,"o_None","TestOpGeq");(90.33, 85.0, 99.67, 94.44, 90.94, 00:00:28);
2;Salinas,(1,false,"o_None","TestOpGeq");(90.67, 95.0, 100.0, 100.0, 91.25, 00:00:27);
3;Salinas,(1,false,"o_None","TestOpGeq");(86.0, 95.0, 100.0, 100.0, 86.88, 00:00:27);
4;Salinas,(1,false,"o_None","TestOpGeq");(88.67, 100.0, 99.67, 95.24, 89.38, 00:00:26);
5;Salinas,(1,false,"o_None","TestOpGeq");(89.0, 90.0, 100.0, 100.0, 89.69, 00:00:27);
6;Salinas,(1,false,"o_None","TestOpGeq");(87.67, 100.0, 99.67, 95.24, 88.44, 00:00:27);
7;Salinas,(1,false,"o_None","TestOpGeq");(90.33, 90.0, 100.0, 100.0, 90.94, 00:00:27);
8;Salinas,(1,false,"o_None","TestOpGeq");(85.0, 90.0, 100.0, 100.0, 85.94, 00:00:27);
9;Salinas,(1,false,"o_None","TestOpGeq");(90.33, 95.0, 100.0, 100.0, 90.94, 00:00:27);
10;Salinas,(1,false,"o_None","TestOpGeq");(87.33, 95.0, 100.0, 100.0, 88.12, 00:00:26);
1;Salinas,(3,:flattened,"o_None","TestOpGeq");(94.67, 90.0, 100.0, 100.0, 95.0, 00:02:19);
2;Salinas,(3,:flattened,"o_None","TestOpGeq");(95.67, 100.0, 100.0, 100.0, 95.94, 00:02:19);
3;Salinas,(3,:flattened,"o_None","TestOpGeq");(96.0, 100.0, 100.0, 100.0, 96.25, 00:02:21);
4;Salinas,(3,:flattened,"o_None","TestOpGeq");(97.33, 100.0, 100.0, 100.0, 97.5, 00:02:22);
5;Salinas,(3,:flattened,"o_None","TestOpGeq");(96.0, 100.0, 100.0, 100.0, 96.25, 00:02:25);
6;Salinas,(3,:flattened,"o_None","TestOpGeq");(95.33, 100.0, 100.0, 100.0, 95.62, 00:02:17);
7;Salinas,(3,:flattened,"o_None","TestOpGeq");(94.33, 95.0, 100.0, 100.0, 94.69, 00:02:18);
8;Salinas,(3,:flattened,"o_None","TestOpGeq");(94.67, 100.0, 100.0, 100.0, 95.0, 00:02:20);
9;Salinas,(3,:flattened,"o_None","TestOpGeq");(96.67, 100.0, 100.0, 100.0, 96.88, 00:02:21);
10;Salinas,(3,:flattened,"o_None","TestOpGeq");(93.0, 100.0, 100.0, 100.0, 93.44, 00:02:23);
1;Salinas,(3,:averaged,"o_None","TestOpGeq");(95.0, 100.0, 100.0, 100.0, 95.31, 00:01:52);
2;Salinas,(3,:averaged,"o_None","TestOpGeq");(93.33, 100.0, 100.0, 100.0, 93.75, 00:01:51);
3;Salinas,(3,:averaged,"o_None","TestOpGeq");(90.67, 95.0, 99.67, 95.0, 91.25, 00:01:51);
4;Salinas,(3,:averaged,"o_None","TestOpGeq");(91.0, 100.0, 100.0, 100.0, 91.56, 00:01:51);
5;Salinas,(3,:averaged,"o_None","TestOpGeq");(93.67, 95.0, 100.0, 100.0, 94.06, 00:01:50);
6;Salinas,(3,:averaged,"o_None","TestOpGeq");(93.0, 100.0, 99.67, 95.24, 93.44, 00:01:50);
7;Salinas,(3,:averaged,"o_None","TestOpGeq");(93.67, 100.0, 100.0, 100.0, 94.06, 00:01:50);
8;Salinas,(3,:averaged,"o_None","TestOpGeq");(89.67, 95.0, 100.0, 100.0, 90.31, 00:01:51);
9;Salinas,(3,:averaged,"o_None","TestOpGeq");(91.0, 100.0, 99.67, 95.24, 91.56, 00:01:51);
10;Salinas,(3,:averaged,"o_None","TestOpGeq");(89.67, 100.0, 99.33, 90.91, 90.31, 00:01:51);
1;IndianPines,(3,false,"o_RCC8","TestOpAll");(70.91, 95.0, 97.27, 76.0, 73.33, 00:17:19);
